Название,URL,Компания,Описание
Test Engineer,https://krasnodar.hh.ru/vacancy/35035427?query=Python,ООО Медиа-тел,"Участие в проектах по разработке высоконагруженных, отказоустойчивых телекоммуникационных решений с высокой доступностью, работающих на сети ведущих операторов мобильной и фиксированной... Опыт работы с Linux Shell. Опыт тестирования REST интерфейсов. Написания автоматизированных тестов (Python или Java или Kotlin по выбору). "
Senior system engineer,https://krasnodar.hh.ru/vacancy/34806627?query=Python,ООО Медиа-тел,"Хорошее знание OS Linux. Английский язык (на уровне достаточном для чтения документации). Участие в разработке систем на уровне системного архитектора... Опыт по написанию плагинов и настройке систем мониторинга. Умение поддерживать чужие скрипты и писать свои (bash, python & etc)."
Python Automation QA Engineer,https://krasnodar.hh.ru/vacancy/35240621?query=Python, Sperasoft,"Participate in design and implementation of testing framework. Refactor existing automated scenarios. Cover existing manual scenarios with automation.  Experience in test automation using Python from 2 years. Experience in any framework for test automation (PyTest, Robot Framework, PyUnit). "
Backend-разработчик,https://krasnodar.hh.ru/vacancy/35242110?query=Python,ООО ЛАЙТ МЭП,Разработка backend’а высоконагруженных проектов (более 500 тыс. запросов на сервер в минуту). Оптимизация и расширение функционала имеющегося кода. Обладаете уверенными знаниями Python. Умеете работать с базами данных и SQL (PostrgeSQL). Работали с noSQL базами данных (redis). 
Специалист по тестированию (Телеком),https://krasnodar.hh.ru/vacancy/35244615?query=Python, Лига Цифровой Экономики,"Функциональное тестирование доработок. Разработка и поддержка тестовых сценариев. Разработка чек-листов для прохождения регрессионного тестирования. Проведение интеграционного и исследовательского тестирования.  Знание основных команд командной строкой Linux. Базовые знания языков программирования (Java, С#, Python, ...). Представление о REST и SOAP API."
Frontend-разработчик,https://krasnodar.hh.ru/vacancy/35151166?query=Python,ООО Смарт Сателлит,Реализация сайтов на 1С-Битрикс/Wordpress. (от одностраничников до интернет-магазинов). Доработка/сопровождение готовых решений. Опыт адаптивной верстки. Наличие портфолио. Знание языков программирования (Java/PHP/Python). Опыт работы с базами данных (MySQL/PostgreSQL). 
Java Automation QA engineer,https://krasnodar.hh.ru/vacancy/35240454?query=Python, Sperasoft,"Automation testing of web-based applications. Automation frameworks development & refactoring. Script, execute and analyze automation test results. Writing tests-related... Knowledge of core Java (preferable) or C#. Knowledge of Python would be a plus. Good written English. Knowledge of Testing..."
Python Developer,https://krasnodar.hh.ru/vacancy/35240421?query=Python,ООО ЛАЙТ МЭП,Разработка backend’а высоконагруженных проектов (более 500 тыс.запросов на сервер в минуту). Оптимизация и расширение функционала имеющегося кода. Обладаете уверенными знаниями Python. Умеете работать с базами данных и SQL (PostrgeSQL). Работали с noSQL базами данных (redis). 
Junior Python разработчик (Django),https://krasnodar.hh.ru/vacancy/33295360?query=Python,ООО МедРейтинг,"Для того, чтобы присоединиться к отделу разработки необходимо: Высшее (или неоконченное высшее) техническое образование, желательно - программирование. Знание Python3. Желательно знание основ Django, но можно подучить его и..."
Junior Python разработчик,https://krasnodar.hh.ru/vacancy/35128950?query=Python,ООО МедРейтинг,"Разработка новых интеграций с МИС (медицинская информационная система). Поддержка и развитие существующих интеграций. Знание любого языка программирования. Желательно знание Python3, но можно подучить его и после собеседования. Не требуется знание фронтенда, читый..."
Junior Data Scientist,https://krasnodar.hh.ru/vacancy/34886072?query=Python, Plarium,"Построение и оптимизация моделей машинного обучения (предсказание оттока клиентов, рекомендательные системы, предотвращение мошенничества, сегментация пользовательской базы, профилирование клиентов и т.  Базовое понимание работы алгоритмов машинного обучения. Базовое знание SQL. Знание Python и библиотек Pandas, Matplotlib, Seaborn, NumPy, Sklearn. "
Тестировщик ПО,https://krasnodar.hh.ru/vacancy/32356747?query=Python, Ростелеком - Центры обработки данных,Выполнение задач по функциональному и интеграционному тестированию информационных систем или их компонентов. Составление и актуализация существующих тестовых сценариев.  Опыт работы с HTTP протоколом. Владение языком программирования (Java/Python/Ruby). Навыки работы в командной строке. Навыки тестирования мобильных приложений.
Middle Python разработчик (Django),https://krasnodar.hh.ru/vacancy/34216052?query=Python,ООО МедРейтинг,"Django-тесты (unit, view). Опыт коммерческой разработки на Python3. Опыт работы с Django (QuerySets, DjangoTemplates, Middleware, кэширование, ... ) . Базовое владение HTML, CSS, JavaScript +Ajax. "
Data Scientist,https://krasnodar.hh.ru/vacancy/32113789?query=Python, Plarium,"Построение и оптимизация моделей машинного обучения (предсказание оттока клиентов, рекомендательные системы, предотвращение мошенничества, сегментация пользовательской базы, профилирование клиентов и т.  Знание SQL, опыт работы с реляционными базами данных и базами данных NoSQL. Опыт разработки на Python. Опыт работы с командной..."
Web-разработчик (C++),https://krasnodar.hh.ru/vacancy/34962532?query=Python,ООО Серверные Технологии,"Основная работа будет заключаться в разработке и поддержке высоконагруженного Websocket сервера, перенос функционала текущего NodeJS сервера на C++, модернизация решения... Желательны базовые знания NodeJS (текущий проект написан на нем, переросли возможности Nodejs cluster). Будет плюсом: - знание python, php."
Senior Python разработчик (Django),https://krasnodar.hh.ru/vacancy/33305447?query=Python,ООО МедРейтинг,"Django-тесты (unit, view). Умение работать со всеми структурами данных Redis. Базовое владение HTML, CSS, JavaScript. В компании есть отдельные FrontEnd разработчки, но желательно..."
Специалист по машинному обучению (Machine Learning),https://krasnodar.hh.ru/vacancy/35031567?query=Python,ООО МедРейтинг,"Изучение современных научных публикаций. Имплементация передовых научных достижений. Адаптация существующих архитектур к конкретной задаче. Выработка гипотез и их проверка. Опыт программирования на Python от 1 года. Git. Знание и опыт использования фреймворков Pandas, Numpy, Scipy, Pytorch и/или Tensorflow..."
Data Engineer,https://krasnodar.hh.ru/vacancy/34269688?query=Python, Plarium,"Проектирование и разработка распределенных систем сбора и обработки данных. Анализ производительности, масштабирование существующих систем в соответствии с возрастающей нагрузкой.  Желание развиваться в области Big Data. Большим плюсом будут: Опыт использования Python для обработки данных и машинного обучения (pandas, PySpark..."
Fullstack-разработчик (PHP / Node.js / Python),https://krasnodar.hh.ru/vacancy/34266667?query=Python,ООО ЦЦЭТ,"Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... Уверенное знание HTML5, CSS3, JavaScript, jQuery. Опыт разработки на Node.js, Python или PHP (как минимум, одна платформа, желательно..."
Mobile разработчик React Native,https://krasnodar.hh.ru/vacancy/34902251?query=Python,ИП Милитонян Артем Восканович," Опыт работы от 2-3х лет. Уверенное знание стека. Понимание scrum процессов, готовность работать в команде. Готовность брать на..."
Test Engineer,https://krasnodar.hh.ru/vacancy/35035427?query=Python,ООО Медиа-тел,"Участие в проектах по разработке высоконагруженных, отказоустойчивых телекоммуникационных решений с высокой доступностью, работающих на сети ведущих операторов мобильной и фиксированной... Опыт работы с Linux Shell. Опыт тестирования REST интерфейсов. Написания автоматизированных тестов (Python или Java или Kotlin по выбору). "
Senior system engineer,https://krasnodar.hh.ru/vacancy/34806627?query=Python,ООО Медиа-тел,"Хорошее знание OS Linux. Английский язык (на уровне достаточном для чтения документации). Участие в разработке систем на уровне системного архитектора... Опыт по написанию плагинов и настройке систем мониторинга. Умение поддерживать чужие скрипты и писать свои (bash, python & etc)."
Python Automation QA Engineer,https://krasnodar.hh.ru/vacancy/35240621?query=Python, Sperasoft,"Participate in design and implementation of testing framework. Refactor existing automated scenarios. Cover existing manual scenarios with automation.  Experience in test automation using Python from 2 years. Experience in any framework for test automation (PyTest, Robot Framework, PyUnit). "
Backend-разработчик,https://krasnodar.hh.ru/vacancy/35242110?query=Python,ООО ЛАЙТ МЭП,Разработка backend’а высоконагруженных проектов (более 500 тыс. запросов на сервер в минуту). Оптимизация и расширение функционала имеющегося кода. Обладаете уверенными знаниями Python. Умеете работать с базами данных и SQL (PostrgeSQL). Работали с noSQL базами данных (redis). 
Специалист по тестированию (Телеком),https://krasnodar.hh.ru/vacancy/35244615?query=Python, Лига Цифровой Экономики,"Функциональное тестирование доработок. Разработка и поддержка тестовых сценариев. Разработка чек-листов для прохождения регрессионного тестирования. Проведение интеграционного и исследовательского тестирования.  Знание основных команд командной строкой Linux. Базовые знания языков программирования (Java, С#, Python, ...). Представление о REST и SOAP API."
Frontend-разработчик,https://krasnodar.hh.ru/vacancy/35151166?query=Python,ООО Смарт Сателлит,Реализация сайтов на 1С-Битрикс/Wordpress. (от одностраничников до интернет-магазинов). Доработка/сопровождение готовых решений. Опыт адаптивной верстки. Наличие портфолио. Знание языков программирования (Java/PHP/Python). Опыт работы с базами данных (MySQL/PostgreSQL). 
Java Automation QA engineer,https://krasnodar.hh.ru/vacancy/35240454?query=Python, Sperasoft,"Automation testing of web-based applications. Automation frameworks development & refactoring. Script, execute and analyze automation test results. Writing tests-related... Knowledge of core Java (preferable) or C#. Knowledge of Python would be a plus. Good written English. Knowledge of Testing..."
